WARNING same-day exit before open | tick=GOOGL | entry=2014-04-03 | exit=2014-04-03 | pos=LONG | size=417.2105938535938
WARNING same-day exit before open | tick=GOOGL | entry=2014-04-03 | exit=2014-04-03 | pos=SHORT | size=208.6052969267969
WARNING same-day exit before open | tick=AAPL | entry=2014-06-09 | exit=2014-06-09 | pos=LONG | size=501.2615160791681
WARNING same-day exit before open | tick=AAPL | entry=2014-06-09 | exit=2014-06-09 | pos=SHORT | size=250.63075803958404
WARNING same-day exit before open | tick=AAPL | entry=2020-08-31 | exit=2020-08-31 | pos=LONG | size=25.929278858847965
WARNING same-day exit before open | tick=TSLA | entry=2020-08-31 | exit=2020-08-31 | pos=LONG | size=18.942613267946818
WARNING same-day exit before open | tick=AAPL | entry=2020-12-30 | exit=2020-12-30 | pos=LONG | size=28.530546873687243
WARNING same-day exit before open | tick=AAPL | entry=2020-12-30 | exit=2020-12-30 | pos=SHORT | size=14.265273436843621
WARNING same-day exit before open | tick=MSFT | entry=2020-12-30 | exit=2020-12-30 | pos=LONG | size=17.097250669987925
WARNING same-day exit before open | tick=MSFT | entry=2020-12-30 | exit=2020-12-30 | pos=SHORT | size=8.548625334993963
WARNING same-day exit before open | tick=AMZN | entry=2020-12-30 | exit=2020-12-30 | pos=LONG | size=22.153452104588936
WARNING same-day exit before open | tick=AMZN | entry=2020-12-30 | exit=2020-12-30 | pos=SHORT | size=11.076726052294468
WARNING same-day exit before open | tick=NVDA | entry=2020-12-30 | exit=2020-12-30 | pos=LONG | size=289.1436041990789
WARNING same-day exit before open | tick=NVDA | entry=2020-12-30 | exit=2020-12-30 | pos=SHORT | size=144.57180209953944
WARNING same-day exit before open | tick=GOOGL | entry=2020-12-30 | exit=2020-12-30 | pos=LONG | size=40.678159426371245
WARNING same-day exit before open | tick=GOOGL | entry=2020-12-30 | exit=2020-12-30 | pos=SHORT | size=20.339079713185622
WARNING same-day exit before open | tick=TSLA | entry=2020-12-30 | exit=2020-12-30 | pos=LONG | size=15.922214467131088
WARNING same-day exit before open | tick=TSLA | entry=2020-12-30 | exit=2020-12-30 | pos=SHORT | size=7.961107233565544
